--- Training Session Started (2000 epochs) ---
Hardware: CUDA
Epoch 0 | Loss: 1.03470552 | Beta: 0.4999 | Gamma: 0.0999
Epoch 100 | Loss: 0.01537778 | Beta: 0.4882 | Gamma: 0.1045
Epoch 200 | Loss: 0.00787505 | Beta: 0.4788 | Gamma: 0.1124
Epoch 300 | Loss: 0.00386914 | Beta: 0.4696 | Gamma: 0.1202
Epoch 400 | Loss: 0.00217686 | Beta: 0.4604 | Gamma: 0.1276
Epoch 500 | Loss: 0.00141770 | Beta: 0.4513 | Gamma: 0.1346
Epoch 600 | Loss: 0.00098210 | Beta: 0.4423 | Gamma: 0.1410
Epoch 700 | Loss: 0.00070269 | Beta: 0.4333 | Gamma: 0.1467
Epoch 800 | Loss: 0.00051596 | Beta: 0.4244 | Gamma: 0.1519
Epoch 900 | Loss: 0.00038737 | Beta: 0.4157 | Gamma: 0.1563
Epoch 1000 | Loss: 0.00029840 | Beta: 0.4070 | Gamma: 0.1601
Epoch 1100 | Loss: 0.00023771 | Beta: 0.3984 | Gamma: 0.1630
Epoch 1200 | Loss: 0.00019654 | Beta: 0.3900 | Gamma: 0.1652
Epoch 1300 | Loss: 0.00016836 | Beta: 0.3816 | Gamma: 0.1666
Epoch 1400 | Loss: 0.00014851 | Beta: 0.3733 | Gamma: 0.1672
Epoch 1500 | Loss: 0.00013382 | Beta: 0.3651 | Gamma: 0.1670
Epoch 1600 | Loss: 0.00012221 | Beta: 0.3570 | Gamma: 0.1662
Epoch 1700 | Loss: 0.00011244 | Beta: 0.3489 | Gamma: 0.1647
Epoch 1800 | Loss: 0.00010381 | Beta: 0.3409 | Gamma: 0.1627
Epoch 1900 | Loss: 0.00009596 | Beta: 0.3330 | Gamma: 0.1602
