--- Training Session Started (20000 epochs) ---
Hardware: CUDA
Epoch 7300 | Loss: 0.00000103 | Beta: 0.0367 | Gamma: 0.0095
Epoch 7400 | Loss: 0.00000039 | Beta: 0.0355 | Gamma: 0.0089
Epoch 7500 | Loss: 0.00000095 | Beta: 0.0345 | Gamma: 0.0084
Epoch 7600 | Loss: 0.00000047 | Beta: 0.0336 | Gamma: 0.0080
Epoch 7700 | Loss: 0.00000053 | Beta: 0.0329 | Gamma: 0.0076
Epoch 7800 | Loss: 0.00000662 | Beta: 0.0323 | Gamma: 0.0073
Epoch 7900 | Loss: 0.00000122 | Beta: 0.0317 | Gamma: 0.0070
Epoch 8000 | Loss: 0.00000036 | Beta: 0.0313 | Gamma: 0.0068
Epoch 8100 | Loss: 0.00000034 | Beta: 0.0309 | Gamma: 0.0066
Epoch 8200 | Loss: 0.00000105 | Beta: 0.0307 | Gamma: 0.0065
Epoch 8300 | Loss: 0.00000028 | Beta: 0.0304 | Gamma: 0.0064
Epoch 8400 | Loss: 0.00000029 | Beta: 0.0303 | Gamma: 0.0063
Epoch 8500 | Loss: 0.00000026 | Beta: 0.0301 | Gamma: 0.0062
Epoch 8600 | Loss: 0.00000030 | Beta: 0.0300 | Gamma: 0.0062
Epoch 8700 | Loss: 0.00000027 | Beta: 0.0299 | Gamma: 0.0061
Epoch 8800 | Loss: 0.00000028 | Beta: 0.0299 | Gamma: 0.0061
Epoch 8900 | Loss: 0.00000040 | Beta: 0.0299 | Gamma: 0.0061
Epoch 9000 | Loss: 0.00000072 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9100 | Loss: 0.00000021 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9200 | Loss: 0.00000022 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9300 | Loss: 0.00000072 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9400 | Loss: 0.00000019 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9500 | Loss: 0.00000020 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9600 | Loss: 0.00001376 | Beta: 0.0298 | Gamma: 0.0061
Epoch 9700 | Loss: 0.00000030 | Beta: 0.0299 | Gamma: 0.0061
Epoch 9800 | Loss: 0.00000017 | Beta: 0.0299 | Gamma: 0.0061
Epoch 9900 | Loss: 0.00000204 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10000 | Loss: 0.00000252 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10100 | Loss: 0.00000384 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10200 | Loss: 0.00000055 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10300 | Loss: 0.00000022 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10400 | Loss: 0.00000018 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10500 | Loss: 0.00000014 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10600 | Loss: 0.00000877 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10700 | Loss: 0.00000103 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10800 | Loss: 0.00000473 | Beta: 0.0299 | Gamma: 0.0061
Epoch 10900 | Loss: 0.00000083 | Beta: 0.0299 | Gamma: 0.0061
Epoch 11000 | Loss: 0.00000014 | Beta: 0.0300 | Gamma: 0.0061
Epoch 11100 | Loss: 0.00000015 | Beta: 0.0300 | Gamma: 0.0061
Epoch 11200 | Loss: 0.00000012 | Beta: 0.0300 | Gamma: 0.0061
Epoch 11300 | Loss: 0.00000012 | Beta: 0.0300 | Gamma: 0.0061
Epoch 11400 | Loss: 0.00001918 | Beta: 0.0300 | Gamma: 0.0061
Epoch 11500 | Loss: 0.00000047 | Beta: 0.0300 | Gamma: 0.0061
Epoch 11600 | Loss: 0.00000011 | Beta: 0.0300 | Gamma: 0.0062
Epoch 11700 | Loss: 0.00000013 | Beta: 0.0300 | Gamma: 0.0062
Epoch 11800 | Loss: 0.00000802 | Beta: 0.0300 | Gamma: 0.0062
Epoch 11900 | Loss: 0.00000011 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12000 | Loss: 0.00000011 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12100 | Loss: 0.00001642 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12200 | Loss: 0.00000012 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12300 | Loss: 0.00000140 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12400 | Loss: 0.00000013 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12500 | Loss: 0.00000010 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12600 | Loss: 0.00000017 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12700 | Loss: 0.00000036 | Beta: 0.0300 | Gamma: 0.0062
Epoch 12800 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 12900 | Loss: 0.00000814 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13000 | Loss: 0.00000090 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13100 | Loss: 0.00000010 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13200 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13300 | Loss: 0.00000010 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13400 | Loss: 0.00000012 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13500 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13600 | Loss: 0.00000013 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13700 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13800 | Loss: 0.00001375 | Beta: 0.0301 | Gamma: 0.0062
Epoch 13900 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14000 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14100 | Loss: 0.00000045 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14200 | Loss: 0.00000217 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14300 | Loss: 0.00000008 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14400 | Loss: 0.00000011 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14500 | Loss: 0.00000012 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14600 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14700 | Loss: 0.00000008 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14800 | Loss: 0.00000038 | Beta: 0.0301 | Gamma: 0.0062
Epoch 14900 | Loss: 0.00000057 | Beta: 0.0301 | Gamma: 0.0062
Epoch 15000 | Loss: 0.00000008 | Beta: 0.0301 | Gamma: 0.0062
Epoch 15100 | Loss: 0.00000060 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15200 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15300 | Loss: 0.00000026 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15400 | Loss: 0.00000009 | Beta: 0.0301 | Gamma: 0.0062
Epoch 15500 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15600 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15700 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15800 | Loss: 0.00000010 | Beta: 0.0302 | Gamma: 0.0062
Epoch 15900 | Loss: 0.00000010 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16000 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16100 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16200 | Loss: 0.00000015 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16300 | Loss: 0.00000128 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16400 | Loss: 0.00000011 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16500 | Loss: 0.00000077 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16600 | Loss: 0.00000101 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16700 | Loss: 0.00000012 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16800 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0062
Epoch 16900 | Loss: 0.00000750 | Beta: 0.0302 | Gamma: 0.0062
Epoch 17000 | Loss: 0.00000014 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17100 | Loss: 0.00000009 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17200 | Loss: 0.00000095 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17300 | Loss: 0.00000007 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17400 | Loss: 0.00000011 | Beta: 0.0302 | Gamma: 0.0062
Epoch 17500 | Loss: 0.00000015 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17600 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17700 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0063
Epoch 17800 | Loss: 0.00000031 | Beta: 0.0302 | Gamma: 0.0062
Epoch 17900 | Loss: 0.00000010 | Beta: 0.0302 | Gamma: 0.0062
Epoch 18000 | Loss: 0.00001519 | Beta: 0.0302 | Gamma: 0.0063
Epoch 18100 | Loss: 0.00000007 | Beta: 0.0302 | Gamma: 0.0063
Epoch 18200 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0063
Epoch 18300 | Loss: 0.00000113 | Beta: 0.0302 | Gamma: 0.0062
Epoch 18400 | Loss: 0.00000046 | Beta: 0.0302 | Gamma: 0.0063
Epoch 18500 | Loss: 0.00000216 | Beta: 0.0302 | Gamma: 0.0062
Epoch 18600 | Loss: 0.00000136 | Beta: 0.0302 | Gamma: 0.0062
Epoch 18700 | Loss: 0.00000018 | Beta: 0.0302 | Gamma: 0.0063
Epoch 18800 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0063
Epoch 18900 | Loss: 0.00000008 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19000 | Loss: 0.00000007 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19100 | Loss: 0.00000010 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19200 | Loss: 0.00000019 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19300 | Loss: 0.00000324 | Beta: 0.0302 | Gamma: 0.0062
Epoch 19400 | Loss: 0.00000052 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19500 | Loss: 0.00000007 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19600 | Loss: 0.00000173 | Beta: 0.0302 | Gamma: 0.0062
Epoch 19700 | Loss: 0.00000021 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19800 | Loss: 0.00000107 | Beta: 0.0302 | Gamma: 0.0063
Epoch 19900 | Loss: 0.00000065 | Beta: 0.0302 | Gamma: 0.0063
