--- Training Session Started (20000 epochs) ---
Hardware: CUDA
Epoch 0 | Loss: 1.28481019 | Beta: 0.4999 | Gamma: 0.0999
Epoch 100 | Loss: 0.01565157 | Beta: 0.4913 | Gamma: 0.0985
Epoch 200 | Loss: 0.00670694 | Beta: 0.4820 | Gamma: 0.0992
Epoch 300 | Loss: 0.00361760 | Beta: 0.4729 | Gamma: 0.1002
Epoch 400 | Loss: 0.00212441 | Beta: 0.4644 | Gamma: 0.1014
Epoch 500 | Loss: 0.00126228 | Beta: 0.4562 | Gamma: 0.1026
Epoch 600 | Loss: 0.00079659 | Beta: 0.4482 | Gamma: 0.1040
Epoch 700 | Loss: 0.00056125 | Beta: 0.4401 | Gamma: 0.1055
Epoch 800 | Loss: 0.00044120 | Beta: 0.4319 | Gamma: 0.1071
Epoch 900 | Loss: 0.00037377 | Beta: 0.4237 | Gamma: 0.1087
Epoch 1000 | Loss: 0.00033010 | Beta: 0.4155 | Gamma: 0.1103
Epoch 1100 | Loss: 0.00029762 | Beta: 0.4072 | Gamma: 0.1120
Epoch 1200 | Loss: 0.00027074 | Beta: 0.3989 | Gamma: 0.1136
Epoch 1300 | Loss: 0.00024699 | Beta: 0.3907 | Gamma: 0.1152
Epoch 1400 | Loss: 0.00022533 | Beta: 0.3824 | Gamma: 0.1168
Epoch 1500 | Loss: 0.00020535 | Beta: 0.3743 | Gamma: 0.1184
Epoch 1600 | Loss: 0.00018690 | Beta: 0.3662 | Gamma: 0.1198
Epoch 1700 | Loss: 0.00016993 | Beta: 0.3581 | Gamma: 0.1212
Epoch 1800 | Loss: 0.00015435 | Beta: 0.3502 | Gamma: 0.1225
Epoch 1900 | Loss: 0.00014010 | Beta: 0.3422 | Gamma: 0.1236
Epoch 2000 | Loss: 0.00012710 | Beta: 0.3344 | Gamma: 0.1247
Epoch 2100 | Loss: 0.00011526 | Beta: 0.3267 | Gamma: 0.1256
Epoch 2200 | Loss: 0.00010451 | Beta: 0.3190 | Gamma: 0.1263
Epoch 2300 | Loss: 0.00009477 | Beta: 0.3114 | Gamma: 0.1269
Epoch 2400 | Loss: 0.00008596 | Beta: 0.3039 | Gamma: 0.1273
Epoch 2500 | Loss: 0.00007801 | Beta: 0.2964 | Gamma: 0.1275
Epoch 2600 | Loss: 0.00007085 | Beta: 0.2891 | Gamma: 0.1276
Epoch 2700 | Loss: 0.00006441 | Beta: 0.2818 | Gamma: 0.1274
Epoch 2800 | Loss: 0.00005862 | Beta: 0.2746 | Gamma: 0.1270
Epoch 2900 | Loss: 0.00005344 | Beta: 0.2675 | Gamma: 0.1264
Epoch 3000 | Loss: 0.00004879 | Beta: 0.2605 | Gamma: 0.1256
Epoch 3100 | Loss: 0.00004461 | Beta: 0.2536 | Gamma: 0.1246
Epoch 3200 | Loss: 0.00004087 | Beta: 0.2467 | Gamma: 0.1233
Epoch 3300 | Loss: 0.00003750 | Beta: 0.2399 | Gamma: 0.1218
Epoch 3400 | Loss: 0.00003446 | Beta: 0.2332 | Gamma: 0.1201
Epoch 3500 | Loss: 0.00003171 | Beta: 0.2265 | Gamma: 0.1182
Epoch 3600 | Loss: 0.00002922 | Beta: 0.2199 | Gamma: 0.1161
Epoch 3700 | Loss: 0.00002694 | Beta: 0.2134 | Gamma: 0.1138
Epoch 3800 | Loss: 0.00002485 | Beta: 0.2070 | Gamma: 0.1113
Epoch 3900 | Loss: 0.00002293 | Beta: 0.2006 | Gamma: 0.1086
Epoch 4000 | Loss: 0.00002115 | Beta: 0.1943 | Gamma: 0.1058
Epoch 4100 | Loss: 0.00001950 | Beta: 0.1880 | Gamma: 0.1028
Epoch 4200 | Loss: 0.00001797 | Beta: 0.1819 | Gamma: 0.0997
Epoch 4300 | Loss: 0.00001654 | Beta: 0.1758 | Gamma: 0.0965
Epoch 4400 | Loss: 0.00001521 | Beta: 0.1697 | Gamma: 0.0933
Epoch 4500 | Loss: 0.00001397 | Beta: 0.1638 | Gamma: 0.0899
Epoch 4600 | Loss: 0.00001280 | Beta: 0.1579 | Gamma: 0.0865
Epoch 4700 | Loss: 0.00001172 | Beta: 0.1521 | Gamma: 0.0830
Epoch 4800 | Loss: 0.00001071 | Beta: 0.1463 | Gamma: 0.0795
Epoch 4900 | Loss: 0.00000976 | Beta: 0.1407 | Gamma: 0.0761
Epoch 5000 | Loss: 0.00000889 | Beta: 0.1351 | Gamma: 0.0726
Epoch 5100 | Loss: 0.00000808 | Beta: 0.1296 | Gamma: 0.0691
Epoch 5200 | Loss: 0.00000733 | Beta: 0.1243 | Gamma: 0.0657
Epoch 5300 | Loss: 0.00000663 | Beta: 0.1190 | Gamma: 0.0623
Epoch 5400 | Loss: 0.00000599 | Beta: 0.1138 | Gamma: 0.0590
Epoch 5500 | Loss: 0.00000541 | Beta: 0.1088 | Gamma: 0.0557
Epoch 5600 | Loss: 0.00000487 | Beta: 0.1038 | Gamma: 0.0526
Epoch 5700 | Loss: 0.00000438 | Beta: 0.0990 | Gamma: 0.0494
Epoch 5800 | Loss: 0.00000393 | Beta: 0.0943 | Gamma: 0.0464
Epoch 5900 | Loss: 0.00000352 | Beta: 0.0898 | Gamma: 0.0435
Epoch 6000 | Loss: 0.00000316 | Beta: 0.0854 | Gamma: 0.0407
