--- Training Session Started (20000 epochs) ---
Hardware: CUDA
Epoch 0 | Loss: 1.81687689 | Beta: 0.4999 | Gamma: 0.0999
Epoch 100 | Loss: 0.00966198 | Beta: 0.4924 | Gamma: 0.0988
Epoch 200 | Loss: 0.00519820 | Beta: 0.4838 | Gamma: 0.1013
Epoch 300 | Loss: 0.00281367 | Beta: 0.4748 | Gamma: 0.1042
Epoch 400 | Loss: 0.00177421 | Beta: 0.4658 | Gamma: 0.1076
Epoch 500 | Loss: 0.00126721 | Beta: 0.4568 | Gamma: 0.1112
Epoch 600 | Loss: 0.00094983 | Beta: 0.4478 | Gamma: 0.1149
Epoch 700 | Loss: 0.00072821 | Beta: 0.4389 | Gamma: 0.1186
Epoch 800 | Loss: 0.00056785 | Beta: 0.4301 | Gamma: 0.1222
Epoch 900 | Loss: 0.00044873 | Beta: 0.4214 | Gamma: 0.1258
Epoch 1000 | Loss: 0.00035869 | Beta: 0.4128 | Gamma: 0.1292
Epoch 1100 | Loss: 0.00029040 | Beta: 0.4043 | Gamma: 0.1324
Epoch 1200 | Loss: 0.00023895 | Beta: 0.3959 | Gamma: 0.1353
Epoch 1300 | Loss: 0.00020053 | Beta: 0.3876 | Gamma: 0.1380
Epoch 1400 | Loss: 0.00017191 | Beta: 0.3794 | Gamma: 0.1404
Epoch 1500 | Loss: 0.00015045 | Beta: 0.3713 | Gamma: 0.1425
Epoch 1600 | Loss: 0.00013405 | Beta: 0.3633 | Gamma: 0.1442
Epoch 1700 | Loss: 0.00012115 | Beta: 0.3553 | Gamma: 0.1455
Epoch 1800 | Loss: 0.00011064 | Beta: 0.3474 | Gamma: 0.1465
Epoch 1900 | Loss: 0.00010180 | Beta: 0.3396 | Gamma: 0.1471
Epoch 2000 | Loss: 0.00009413 | Beta: 0.3319 | Gamma: 0.1472
Epoch 2100 | Loss: 0.00008735 | Beta: 0.3242 | Gamma: 0.1470
Epoch 2200 | Loss: 0.00008125 | Beta: 0.3165 | Gamma: 0.1463
Epoch 2300 | Loss: 0.00007570 | Beta: 0.3090 | Gamma: 0.1453
Epoch 2400 | Loss: 0.00007060 | Beta: 0.3015 | Gamma: 0.1439
Epoch 2500 | Loss: 0.00006589 | Beta: 0.2940 | Gamma: 0.1422
Epoch 2600 | Loss: 0.00006151 | Beta: 0.2866 | Gamma: 0.1401
Epoch 2700 | Loss: 0.00005742 | Beta: 0.2793 | Gamma: 0.1377
Epoch 2800 | Loss: 0.00005357 | Beta: 0.2720 | Gamma: 0.1350
Epoch 2900 | Loss: 0.00004996 | Beta: 0.2648 | Gamma: 0.1321
Epoch 3000 | Loss: 0.00004654 | Beta: 0.2576 | Gamma: 0.1290
Epoch 3100 | Loss: 0.00004332 | Beta: 0.2504 | Gamma: 0.1257
Epoch 3200 | Loss: 0.00004028 | Beta: 0.2433 | Gamma: 0.1222
Epoch 3300 | Loss: 0.00003740 | Beta: 0.2363 | Gamma: 0.1187
Epoch 3400 | Loss: 0.00003469 | Beta: 0.2293 | Gamma: 0.1150
Epoch 3500 | Loss: 0.00003213 | Beta: 0.2223 | Gamma: 0.1113
Epoch 3600 | Loss: 0.00002972 | Beta: 0.2155 | Gamma: 0.1075
Epoch 3700 | Loss: 0.00002746 | Beta: 0.2086 | Gamma: 0.1037
Epoch 3800 | Loss: 0.00002534 | Beta: 0.2019 | Gamma: 0.0999
Epoch 3900 | Loss: 0.00002335 | Beta: 0.1952 | Gamma: 0.0962
Epoch 4000 | Loss: 0.00002149 | Beta: 0.1886 | Gamma: 0.0924
Epoch 4100 | Loss: 0.00001975 | Beta: 0.1820 | Gamma: 0.0887
Epoch 4200 | Loss: 0.00001813 | Beta: 0.1755 | Gamma: 0.0850
Epoch 4300 | Loss: 0.00001662 | Beta: 0.1691 | Gamma: 0.0814
Epoch 4400 | Loss: 0.00001521 | Beta: 0.1628 | Gamma: 0.0778
Epoch 4500 | Loss: 0.00001390 | Beta: 0.1566 | Gamma: 0.0743
Epoch 4600 | Loss: 0.00001268 | Beta: 0.1505 | Gamma: 0.0709
Epoch 4700 | Loss: 0.00001155 | Beta: 0.1445 | Gamma: 0.0676
Epoch 4800 | Loss: 0.00001050 | Beta: 0.1386 | Gamma: 0.0643
Epoch 4900 | Loss: 0.00000953 | Beta: 0.1328 | Gamma: 0.0611
Epoch 5000 | Loss: 0.00000863 | Beta: 0.1271 | Gamma: 0.0580
Epoch 5100 | Loss: 0.00000780 | Beta: 0.1215 | Gamma: 0.0549
Epoch 5200 | Loss: 0.00000703 | Beta: 0.1161 | Gamma: 0.0519
Epoch 5300 | Loss: 0.00000633 | Beta: 0.1108 | Gamma: 0.0491
Epoch 5400 | Loss: 0.00000568 | Beta: 0.1056 | Gamma: 0.0463
Epoch 5500 | Loss: 0.00000510 | Beta: 0.1006 | Gamma: 0.0436
Epoch 5600 | Loss: 0.00000456 | Beta: 0.0958 | Gamma: 0.0410
Epoch 5700 | Loss: 0.00000407 | Beta: 0.0910 | Gamma: 0.0384
Epoch 5800 | Loss: 0.00000363 | Beta: 0.0865 | Gamma: 0.0360
Epoch 5900 | Loss: 0.00000323 | Beta: 0.0821 | Gamma: 0.0337
Epoch 6000 | Loss: 0.00000287 | Beta: 0.0779 | Gamma: 0.0314
Epoch 6100 | Loss: 0.00000255 | Beta: 0.0739 | Gamma: 0.0293
Epoch 6200 | Loss: 0.00000226 | Beta: 0.0700 | Gamma: 0.0273
Epoch 6300 | Loss: 0.00000200 | Beta: 0.0663 | Gamma: 0.0253
Epoch 6400 | Loss: 0.00000177 | Beta: 0.0629 | Gamma: 0.0235
Epoch 6500 | Loss: 0.00000157 | Beta: 0.0596 | Gamma: 0.0217
Epoch 6600 | Loss: 0.00000139 | Beta: 0.0565 | Gamma: 0.0201
Epoch 6700 | Loss: 0.00000151 | Beta: 0.0536 | Gamma: 0.0186
Epoch 6800 | Loss: 0.00000109 | Beta: 0.0509 | Gamma: 0.0172
Epoch 6900 | Loss: 0.00000100 | Beta: 0.0484 | Gamma: 0.0158
Epoch 7000 | Loss: 0.00000086 | Beta: 0.0461 | Gamma: 0.0146
Epoch 7100 | Loss: 0.00000084 | Beta: 0.0440 | Gamma: 0.0135
Epoch 7200 | Loss: 0.00000069 | Beta: 0.0420 | Gamma: 0.0125
Epoch 7300 | Loss: 0.00000181 | Beta: 0.0403 | Gamma: 0.0116
Epoch 7400 | Loss: 0.00000055 | Beta: 0.0387 | Gamma: 0.0107
Epoch 7500 | Loss: 0.00000140 | Beta: 0.0373 | Gamma: 0.0100
Epoch 7600 | Loss: 0.00000045 | Beta: 0.0361 | Gamma: 0.0094
